ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
192	true	false	true	true	false	59523	303
193	true	false	true	true	false	46811	302
194	true	true	false	false	false	89929	2147483647
195	true	false	true	true	false	47381	301
196	true	false	true	false	true	86340	302
197	true	false	true	true	false	126250	300
198	true	false	true	true	false	65912	299
199	true	false	true	true	false	42667	298
200	true	false	true	true	false	46212	297
201	true	false	true	false	true	99748	671
202	true	false	true	true	false	88551	296
203	true	true	false	false	false	122650	2147483647
204	true	false	true	true	false	65641	295
205	true	false	true	true	false	76045	294
206	true	false	true	true	false	68604	292
207	false	false	false	false	false	66580	2147483647
208	true	false	true	true	false	74315	291
209	false	false	false	false	false	56143	2147483647
210	false	false	false	false	false	91005	2147483647
211	true	false	true	false	true	49798	315
212	true	false	true	true	false	60905	290
213	true	false	true	false	true	62521	313
214	true	false	true	true	false	76038	289
215	true	true	false	false	false	96683	2147483647
216	true	true	false	false	false	159361	2147483647
217	true	false	true	true	false	103548	288
218	true	false	true	false	true	85751	306
219	true	false	true	true	false	48452	287
220	true	false	true	true	false	103752	285
221	true	false	true	false	true	54738	285
222	true	false	true	true	false	46472	284
223	true	false	true	true	false	83311	283
224	true	false	true	true	false	131801	282
225	true	false	true	true	false	60281	281
226	true	false	true	true	false	60120	280
227	true	false	true	true	false	61025	279
228	true	false	true	true	false	43111	278
229	true	false	true	true	false	70013	277
230	true	false	true	true	false	56625	276
231	true	false	true	true	false	53210	275
232	true	false	true	true	false	100189	273
233	true	false	true	false	true	61430	273
234	true	false	true	true	false	49673	272
235	true	true	false	false	false	106964	2147483647
236	true	false	true	false	true	77144	281
237	false	false	false	false	false	99831	2147483647
238	false	false	false	false	false	85310	2147483647
239	true	false	true	false	true	56964	281
240	true	false	true	false	true	87166	281
241	true	false	true	true	false	51886	271
242	true	false	true	true	false	71400	270
243	true	false	true	true	false	64269	269
244	true	false	true	true	false	60298	268
245	true	false	true	true	false	156554	267
246	true	false	true	true	false	65228	266
247	true	false	true	true	false	75481	264
248	false	false	false	false	false	54113	2147483647
249	true	false	true	true	false	68436	261
250	false	false	false	false	false	72407	2147483647
251	false	false	false	false	false	177913	2147483647
252	true	false	true	true	false	61843	260
253	true	false	true	true	false	61939	259
254	true	false	true	true	false	45604	258
255	true	false	true	true	false	48310	257
256	true	false	true	true	false	66217	256
257	true	false	true	true	false	109864	255
258	true	false	true	true	false	43166	254
259	true	false	true	true	false	48249	253
260	true	false	true	true	false	58992	252
261	true	false	true	true	false	56756	248
262	true	false	true	false	true	49186	248
263	false	false	false	false	false	133026	2147483647
264	true	false	true	false	true	166116	248
265	true	false	true	true	false	140534	246
266	true	false	true	false	true	73235	246
267	true	false	true	true	false	48733	245
268	true	false	true	true	false	49306	244
269	true	false	true	true	false	49970	243
270	true	false	true	true	false	48736	242
271	true	true	false	false	false	76899	2147483647
272	true	false	true	true	false	106149	241
273	true	false	true	false	true	53077	241
274	true	false	true	true	false	118446	240
275	true	false	true	false	true	90972	243
276	true	false	true	true	false	54411	239
277	true	false	true	false	true	78099	243
278	true	false	true	false	true	140615	239
279	true	false	true	true	false	63268	238
280	true	false	true	true	false	157712	237
281	true	false	true	true	false	48856	236
282	true	false	true	true	false	54539	235
283	true	false	true	true	false	105313	234
284	true	false	true	true	false	140493	233
285	true	false	true	true	false	84120	232
286	true	false	true	true	false	83116	231
287	true	false	true	true	false	50125	230
288	true	false	true	true	false	48766	229
289	true	false	true	false	true	77691	229
290	true	false	true	true	false	50736	228
291	true	false	true	true	false	72399	227
292	true	false	true	true	false	187292	226
293	true	false	true	true	false	95948	225
294	true	false	true	true	false	82788	224
295	true	false	true	true	false	138032	223
296	true	false	true	true	false	73193	222
297	true	false	true	true	false	65252	221
298	true	false	true	true	false	62756	220
299	true	false	true	true	false	60025	219
300	true	false	true	true	false	58595	218
301	true	false	true	true	false	46006	217
302	true	false	true	true	false	47524	216
303	true	false	true	true	false	119572	201
304	true	false	true	true	false	136246	198
305	true	false	true	false	true	76868	198
306	true	false	true	true	false	127882	192
307	false	false	false	false	false	73965	2147483647
308	false	false	false	false	false	66406	2147483647
309	true	true	false	false	false	79893	2147483647
310	false	false	false	false	false	90872	2147483647
311	false	false	false	false	false	87716	2147483647
312	false	false	false	false	false	75153	2147483647
313	false	false	false	false	false	53060	2147483647
314	false	false	false	false	false	68471	2147483647
315	false	false	false	false	false	81478	2147483647
316	false	false	false	false	false	60476	2147483647
317	false	false	false	false	false	78776	2147483647
318	false	false	false	false	false	58972	2147483647
319	false	false	false	false	false	50106	2147483647
320	false	false	false	false	false	57666	2147483647
321	true	false	true	false	true	75726	195
322	false	false	false	false	false	66508	2147483647
323	false	false	false	false	false	50049	2147483647
324	false	false	false	false	false	130609	2147483647
325	false	false	false	false	false	65421	2147483647
326	true	false	true	false	true	105949	195
327	true	false	true	false	true	144002	557
328	true	true	false	false	false	164915	2147483647
329	true	false	true	true	false	69534	191
330	true	true	false	false	false	134683	2147483647
331	true	false	true	true	false	47006	190
332	true	false	true	true	false	65674	189
333	true	false	true	true	false	66248	187
334	true	false	true	false	true	59942	187
335	true	false	true	true	false	91300	185
336	true	false	true	true	false	55821	184
337	false	false	false	false	false	82554	2147483647
338	true	false	true	true	false	105202	183
339	true	false	true	true	false	59523	182
340	true	false	true	true	false	83361	181
341	true	false	true	true	false	140711	180
342	true	false	true	false	true	72475	180
343	true	false	true	true	false	41355	179
344	true	false	true	false	true	58343	196
345	true	false	true	true	false	90083	178
346	true	false	true	true	false	43366	177
347	true	false	true	true	false	48995	176
348	true	true	false	false	false	93907	2147483647
349	true	false	true	true	false	151668	175
350	true	false	true	true	false	105155	174
351	true	false	true	true	false	97128	173
352	true	false	true	true	false	81135	172
353	true	false	true	true	false	70024	171
354	true	false	true	true	false	82313	170
355	true	false	true	true	false	43815	169
356	true	false	true	true	false	51071	168
357	true	false	true	true	false	45819	167
358	true	false	true	true	false	122664	165
359	true	false	true	false	true	105042	165
360	true	false	true	true	false	77063	164
361	true	false	true	true	false	61171	163
362	true	false	true	true	false	55821	162
363	true	false	true	true	false	66178	161
364	true	false	true	true	false	62977	160
365	true	false	true	true	false	245658	158
366	true	false	true	false	true	70268	158
367	true	false	true	true	false	76116	157
368	true	false	true	true	false	77574	155
369	true	false	true	false	true	127316	155
370	true	false	true	true	false	228709	151
371	true	false	true	false	true	69432	151
372	true	false	true	false	true	57891	151
373	true	false	true	false	true	59985	151
374	true	false	true	false	true	106884	153
375	true	false	true	true	false	123228	150
376	true	false	true	false	true	80018	154
377	true	false	true	true	false	149060	148
378	true	false	true	true	false	49117	147
379	true	false	true	false	true	81851	511
380	true	false	true	true	false	78204	146
381	true	false	false	false	true	234830	152
382	true	false	true	true	false	98405	145
383	true	false	true	true	false	90264	144
384	true	false	true	true	false	144465	143
385	true	false	true	true	false	89946	141
386	false	false	false	false	false	92394	2147483647
387	true	false	true	false	true	95780	165
388	true	false	true	true	false	57507	140
389	true	false	true	false	true	68902	154
390	false	false	false	false	false	91452	2147483647
391	true	false	true	true	false	97217	139
392	true	false	true	true	false	89695	138
393	true	false	true	false	true	81235	150
394	true	false	true	true	false	78526	137
395	true	false	true	true	false	215562	136
396	true	false	true	false	true	62115	138
397	true	false	true	true	false	42479	135
398	true	false	true	true	false	137187	134
399	true	false	true	true	false	51112	133
400	true	false	true	true	false	43085	132
401	true	false	true	true	false	63860	131
402	true	false	true	true	false	46703	130
403	true	false	true	false	true	52023	135
404	false	false	false	false	false	197487	2147483647
405	true	false	true	false	true	72948	138
406	true	false	true	false	true	49272	174
407	true	false	false	false	false	122298	130
408	true	false	true	true	false	93405	129
409	true	true	false	false	false	69623	2147483647
410	true	false	true	true	false	47724	127
411	true	false	true	false	true	67533	127
412	true	false	true	true	false	48761	126
413	true	false	true	true	false	60815	125
414	true	false	true	true	false	106497	123
415	true	false	true	true	false	85549	121
416	false	false	false	false	false	61446	2147483647
417	true	false	true	false	true	146019	121
418	true	false	true	true	false	142452	120
419	true	false	true	true	false	135187	116
420	false	false	false	false	false	59385	2147483647
421	false	false	false	false	false	93031	2147483647
422	false	false	false	false	false	46982	2147483647
423	true	false	true	true	false	61569	115
424	true	false	true	true	false	71477	114
425	false	false	false	false	false	76014	2147483647
426	true	false	true	true	false	49164	113
427	true	false	true	false	true	87210	118
428	true	false	true	true	false	52963	112
429	true	false	true	false	true	49046	112
430	true	false	true	true	false	62397	111
431	true	false	true	true	false	55950	110
432	true	false	true	true	false	102965	109
433	true	false	true	false	true	48025	123
434	true	false	true	false	true	58726	123
435	true	false	true	true	false	42214	108
436	true	false	true	true	false	75594	107
437	true	false	true	true	false	42405	106
438	true	false	true	true	false	44373	105
439	true	false	true	true	false	58101	104
440	true	false	true	true	false	136413	102
441	false	false	false	false	false	73271	2147483647
442	true	true	false	false	false	53838	2147483647
443	true	false	true	true	false	47844	101
444	true	false	true	true	false	56029	100
445	true	false	true	false	true	137466	104
446	true	false	true	false	true	48478	104
447	true	false	true	true	false	59222	99
448	true	false	true	true	false	94900	97
449	false	false	false	false	false	42685	2147483647
450	true	false	true	true	false	50978	96
451	true	false	true	true	false	96015	95
452	true	false	true	true	false	48116	94
453	true	false	true	true	false	152832	93
