Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C	SCORE (Patch A)_Manu	SCORE (Patch B)_Manu	SCORE (Patch C)_Manu	Comment_Manu	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	Consolidation Comment (Optional)	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	2	File_Type
libgdx	113	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	this.filename = filename;	2	3	2					0	2	1	2	3	3	I feel like Annotator probably propagated `@Nullable` annotations too eagerly; doesn't seem like this parameter should ever be null.  Patch A does a defensive check which is fine, but ideally one would try to get rid of the `@Nullable` annotation the right way.  Patches B and C don't do the job.  (C gets rid of the annotation but doesn't reckon with the new warnings that will cause.)	3	3	2	Annotations should express normal behavior, and based on the way that the asset filename is decided (from the filename of an asset or else null-checked first), it's clearly intented that it should be nonnull (see e.g. https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/assets/AssetManager.java#L280, which is the source of the null flow). Patch C recognizes this, but gets a 2 because it triggers new errors and is therefore incomplete; patch A is worse than doing nothing; patch B tries to thread the nullability through the whole program, which seems to _work_ but clearly isn't the intended semantics.	MK: I can agree on 2 3 2						consolidation
litiengine	120	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	this.collisionBoxes.get(type).clear();	3	3	1								2	2	1	can't be null but nullaway can't prove, cast is best	3	3	1	The constructor of the class always add entries for each of the Collision enum values (except NONE), so looking them up will always lead to a nonnull value, since the map is never cleared.	MS: I can agree on 3 3 1, I think I messed up originally						consolidation
eureka	4	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	resourceRecordSetWithHostedZone	2	2	2								2	2	2	hasValue returning true ensures non-null.  Null check is not ideal but safe.	2	2	3	hasValue can only return true if the input is nonnull (https://github.com/Pascal-Joos/eureka/blob/022d7cbc208d8857214f367d47cd4de56b97aa85/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java#L326), so all three patches are wrong. Patches A and B are semantically equivalent, unlike patch C, though, so they're better.	MK: willing to agree to 222 because patch C, while not semantically equivalent _in general_, only differs in the (impossible) null case. I think it's worse than the other two, though						consolidation
jadx	9	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {	2	3	2								2	3	2	I doubt this can actually be null; maybe annotator pushing `@Nullable` far from root cause.  I think a null check is better than casts, but still not ideal.	3	3	3	The design of the code makes it clear that condition is not supposed to be nullable, so the right fix is to remove that Nullable annotation on the parameter and then unwind the consequences. It seems like NAA has gotten this pretty badly wrong, and all of the models are in a position where there's not really any way to win without undoing a bunch of its work. Patches A and C are marginally better than patch B, but I wouldn't consider any of them if I were a dev - I'd insist on getting rid of the unnessary nullability.	MK: willing to agree to 232						consolidation
libgdx	437	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	int[] _hash;	3	3	3								3	3	3	I _think_ this is actually always initialized via some complex initialization protocol.  Might be best to just suppress the initialization warning.  None of the patches make a good change, the size of this array needs to be consistent with _hashSizeSum I think.	3	2	2	This code doesn't look like it's really intended to be Java; the structure looks like a translated C program. I would not run the checker on the whole file for that reason, so my preferred patch is a warning suppression on the whole file. Patch A is very wrong: it changes semantics in a few places, and is otherwise too intrusive. Patches B and C are effectively warning suppressions, but I'd hesitate to accept them as a dev because as a dev I wouldn't touch this code with a ten foot pole.	"MK: happy with 333; correct change is ""do nothing"""						consolidation
libgdx	63	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	public @Null int[][] values;	3	2	3					0	0	1	3	2	3	needs to be initialized consistently with the names array, and i think it is.  Patch B is closest but adds unnecessary null check on values.  Patches A and C seem wrong, don't keep consistency.	3	1	2	It's pretty clear that values is intended to be Nullable. Patch B gets that exactly right. Patch C is on the right track, but doesn't handle every use (thus triggering new errors). Patch A is wrong.	MK: I'm pretty sure I'm right about values being intended to be nullable: there is an @Null annotation (human-written!) on its declaration.    MS: that is true, but I think names and values are intended to always be initialized together.  So, names != null implies values != null.  Also did we look at the same Patch C?  Your description of it being on the right track doesn't seem right to me  MK: evidence that names and values should be initialized together: * https://github.com/Pascal-Joos/libgdx/blob/7eed90be3f64fd373341b99ade04cab26d6d4dfe/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java#L482 So, I'm happy to shift to 2 for patch B. I'm also not sure what I was thinking re:patch C; it's not good. I'm therefore happy with 323.						consolidation
libgdx	83	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	bindPose.keys[j] = getNode(bindPose.keys[j].id);	1	3	3					0	1	0	1	2	2	hard to tell but my best guess is that this can't actually be null.  cast is best, but null checks are a reasonable second best i think (though would they mask an error?)	1	3	3	I'm pretty unsure about this one. I _think_ this is a false positive, but that's mostly because I can't see how this code could ever run otherwise. Patches B and C skip updating the entry if the key's id actually is null, which I think is a mistake: it would be much better to crash in such a case (which the suppression will cause), so that it can be investigated as a bug.	MK: I think patches B and C would mask an error, which is why I gave them 3s. MS: I can agree with that						consolidation
litiengine	118	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(entity.getCollisionType()) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:78	this.collisionEntities.get(entity.getCollisionType()).add(entity);	1	3	3								1	2	2	can't be null but nullaway can't prove, cast is best	1	3	3	this.collisionEntities always contains entries for these enum values; see the constructor. Patch A suppresses the warning; Patches B and C do not. This warning is very similar to warning 120, and the justification for my decision is the same.	MS: agreed on 1 3 3						consolidation
libgdx	249	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:999	expandX = null;	3	1	3					0	1	0	3	1	3	field clearly can be null, Patch B looks right to me though casts do add clutter	3	2	3	Context makes it obvious that the field is allowed to hold null. So, Patches A and C (which adjust the assignment to make the RHS nonnull) are wrong. Patch B correctly makes the field null, but I'm not happy with how it handles the triggered errors - I don't see anything at either location that guarantees that expandX/expandY is actually nonnull, so I'd have done a null check at both locations, instead. Also, patch B clearly needs work because it triggers a new error.	MS: this depends on how we handle triggered errors from casts (We decided to score such as 1 -[Pascal])						consolidation
jadx	61	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression cond is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfCondition.java:121	\t\tMode mode = cond.getMode();	3	3	3								2	3	2	parameter should probably not be `@Nullable`, casting or checking for null is not as good as getting rid of annotation	3	2	3	"cond is pretty clearly supposed to be nonnull, so the right fix would be to remove the @Nullable annotation and then fix the call sites. Patch B partially does that, but doesn't actually remove the annotation and makes the method throw an exception, instead, which isn't the right choice (""annotations should reflect normal behavior""). Patch A hides the problem in a silly way (just change the type of the parameter instead!) and doesn't address the call site issue. Patch C just throws an exception, which is equally silly."	MK: willing to agree on 333						consolidation
litiengine	117	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(Collision.ANY) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:84	this.collisionEntities.get(Collision.ANY).add(entity);	3	1	3								2	1	2	like row 35 (row 10: litiengine 118 now [Pascal])	3	1	3	this.collisionEntities always contains entries for this enum value; see the constructor. Patch B suppresses the warning; Patches A and C do not. This warning is very similar to warnings 118 and 120, and the justification for my decision is the same.	MS: I can agree on 3 1 3						consolidation
jadx	98	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());	1	3	3					1	0	0	1	3	3	can't be null, cast is best, checking and bailing out is misleading	2	3	3	"map is a local variable, and is initialized with the set of blocks in blockNodes on line 1161. The lookup that gets d also uses a block from blockNodes, so its guaranteed to find an entry. Patch A correctly suppresses the warning, but doesn't put the ""nonnull"" version into a local variable, so it triggers a new warning at the next dereference of d; it should but it in a local variable instead. Patches B and C try to handle the null dereference, and so are wrong. C is worse, but both are so bad I wouldn't consider them. (I also checked that blockNodes never changes during this method.)"	"MK: my score here depends on how we want to handle ""newly"" triggered errors that were always there (a la Pascal's email on Friday afternoon European time). If we're ok with them, I'm happy to switch to 1 here (We decided to score such as 1 -[Pascal])"						consolidation
libgdx	183	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression side is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/FrameBufferCubemap.java:182	side.glEnum,	3	3	2								2	2	2	the parameter should not be nullable.  annotator issue?  a good patch would find the root cause.  these patches don't break the program, but don't solve the real issue.	3	3	2	Correct patch is to remove the @Nullable annotation and instead suppress the callsite on line 169. Patch C correctly recognizes that side shouldn't be null here, but puts the suppression in the wrong place. Patches A and B do not and are therefore wrong.	MS: I can agree on 3 3 2						consolidation
litiengine	97	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	return this.name;	2	3	1					3	0	0	3	1	2	seems it can actually be null, if it's not set.  based on the usages i think returning an empty string is reasonable.  making return `@Nullable` and adding null checks is second best.  just marking return as `@Nullable` leads to new errors.	2	3	1	there's nothing to guarantee that setName gets called on every GuiComponent, so making the return nullable makes sense. Patch A just does that and doesn't deal with call sites, which is a good start, but wrong. Patch C does that and does deal with callsites, so it's ok. Patch B is trickier: it makes the getName() method return the empty string when the name is empty. I think this could be ok, but it could also lead to subtle bugs later: if two GuiComponents both didn't have their names set, they might accidentally be considered to have the same name by code like the code in ScreenManager that patch C edits. So, I don't think this change is safe.	MK: we agree on relative order of A and C, just a question of whether B is safe. I stand by my argument that it isn't.  MS: I'm convinced by your argument						consolidation
litiengine	114	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/input/Input.java:50	return gamePadManager;	3	3	3					1	26	2	2	3	3	seems like if the protocol is followed correctly (right config and system has been initialized) this should return nonnull.  seems like a bad API that should just fail rather than returning null.  adding null checks at all callers is tedious.  Patch A is ok though it adds null checks, Patches B and C are bad.	3	3	3	Line 105 of input initializes gamePadManager iff Game.config().input().isGamepadSupport() is true. That's exactly the condition checked above this return, so the warning is a false positive and the correct thing to do is to suppress it _and_ add an explicit throw along with the SEVERE logging logic (IMO). All the patches aren't even close.	MK: I don't see any redeeming features in patch A.  MS: On second look I agree						consolidation
libgdx	445	hash_agent_baseline	hash_advanced	hash_basic	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lzma/Encoder.java:1270	_matchFinder = null;	3	3	3								3	3	3	The field should be `@Nullable` I think.  Initialized via some complex protocol.  I don't think any of the patches quite do a proper fix.  I would probably do a checkNotNull at the beginning of each method that uses the field, or something like that.	3	2	3	_matchFinder is clearly supposed to be null, so only Patch B makes any sense. I gave patch B a 2 rather than a 1 because although I can't find anything wrong with it per se, it's pretty extensive and would require careful review. I suspect there's at least one minor mistake in there, but I don't have enough expertise to be sure.	"MK: willing to go to 333, but I think patch B is materially better than the other two even though it's not great, hence my 2 score.  MS: I think Patch B introduces casts that are unnecessary, i.e., they are dominated by a null check so there should be no warning.  I've emailed Pascal separately about these cases, I think it's different than the ""new error"" issue with casts. MK: I agree it's different. I'm happy with 333 here, so let's go with that."						consolidation
glide	9	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	return modelLoaderIndex < modelLoaders.size();	3	2	2								3	1	1	Adding a null check seems reasonable.  Patch A has some unrelated change.	3	2	2	A combination of short-circuit evaluation and the loop guard on the while loop around line 52 mean that this method is never called when modelLoaders is null (and the method is private), so I think the best fix is a suppression. All three patches are effectively identical, and I marked them as 2s because they're plausibly a good idea from a defensive code perspective. Patch A gets a 3 instead because it makes an unrelated change.	MK: I'm willing to go to 311 if Manu feels strongly.  MS: I think 3 2 2 is better upon further consideration.						consolidation
wala-util	35	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression v is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/BasicNaturalRelation.java:161	v.set(x, y);	1	2	2								3	1	1	v cannot be null according to the logic.  casting or null check + exception seems reasonable.  I don't know what Patch A is doing.	1	3	2	Patch A gets this exactly right, avoiding the nullability issue altogether while presesrving semantics. Patch B is totally wrong (v can't be null), while patch C is decent but misses patch A's better approach. I considered giving patch C a 1 also, but I like patch A better.	MK: Patch A is un-hoisting the variable so that it's loop-scoped. I'm pretty sure the change is semantically-equivalent, and it completely avoids the null case, which is why I prefer it. I'm willing to go to 131, but I don't think patch B is correct: v can't be null, so null-checking it is silly.  MS: Ok, I understand Patch A now and agree with you.  But, isn't Patch B essentially an inlined cast?  Maybe we should go 1 2 2? MK: Ok with 1 2 2						consolidation
glide	45	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/ResourceCacheGenerator.java:118	return modelLoaderIndex < modelLoaders.size();	2	2	3								1	1	3	Similar to row 47. (row 19: glide 9 now [Pascal])	2	2	3	code is almost identical to patch id 9, and the pattern here is the same: patches A and B have ok defensive fixes for what is actually a false positive; patch C has unnecessary other changes	MS: I'm fine with 2 2 3 on this one.						consolidation
libgdx	360	hash_advanced	hash_agent_baseline	hash_basic	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	2	2	2					1	0	0	2	2	2	I can't find any usages of the zero-arg constructor so this case is hard to judge.  My assumption is that there is some global invariant that WindowStyles constructed with the zero-arg constructor shouldn't really be used in cases where a title font is needed.  So I think it's better to use castToNonNull to fail fast if that global invariant is violated, rather than initializing to a default font and then possibly having something else be broken later.  Possibly, though, the zero-arg constructor should just be deleted?  Patch A at 2 since it still leaves one error, though it'd be nice to know what that was						3	2	1	Setting a default font, as done by B and C seems reasonable. B should use an import. A is too complex.	"MS: Michael, please see my comment.  Not clear to me that setting a font by default doesn't violate some global invariant.  Also I didn't find Patch A to be super complex. MP: Hard to judge, as you say. My intuition is that having a suboptimal font is better than a runtime failure, but your assumption about an undocumented global invariant may also be true. I can agree with ""2"" for all, as none is clearly correct."	consolidation
jadx	89	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	2	2	2								2	2	2	Another tricky one.  checkInvoke is doing a null check, and I think the best fix would be to add a contract annotation on that method so that NullAway could understand the null check it performs.  castToNonNull is an appropriate fix (Patch A).  I feel developers will be annoyed by the redundant null check in Patches B and C.  But, they may be annoyed by the castToNonNull calls also.  I think Patch A is slightly better, but giving all a 2 for now.						3	1	1	B and C looks like the intended behavior. A may cause runtime error.	"MP: I had missed the null check in checkInvoke, so I agree that a cast is fine and am okay with ""2"" for all."	consolidation
libgdx	214	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	2	2	2								2	1	2	I'm not sure why the parameter of addAction is @Nullable; I didn't immediately finding any call sites passing something possibly null.  But, assuming null can be passed, I think it is unexpected, and failing fast with a cast (Patch B) is better than just returning silently.						1	3	1	Cast in B contradicts annotation. A and C look fine, but this behavior should probably be documented.	MP: Isn't annotating as Nullable but than failing when null is passed contradictory? It's essentially saying that it's okay to pass null, but if you really do it, the program will crash. In other words, any patch that keeps the Nullable annotation and then casts is wrong.  MS: I think the key question is whether the right patch would remove the `@Nullable` annotation.  Given the original code immediately dereferences the parameter, I think the annotation is wrong.  If we agree on that, then I don't think any of the patches should get a 1.  Then the question is whether one should return silenty for a null parameter or fail fast.  I prefer the latter, but probably the cast should appear at relevant call sites instead of within the method.  So, how about 2 2 2? MP: Okay, let's do 2 for all.	consolidation
jadx	84	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	3	3	1								3	3	2	I don't think FinallyExtractInfo.startBlock should be `@Nullable`.  Instead, there should be a castToNonNull at https://github.com/Pascal-Joos/jadx/blob/30861c4de848c48fdcda3cc38b361596dd6c9791/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java#L113 and the field should just be non-null.  Still, Patch C with the cast is better than just returning false, since nullness is unexpected and just returning false could mask a bug.						2	2	1	Should never be null, I think, so casting, as done by C is best. A and B are also correct, but handle a never occurring case.	"MP: I think we can agree on a ""3"" for A and B. Not sure about C though. I don't see the link between line 113 and the edit location.  MS: at line 113 Utils.getOne returns @Nullable, but I think for this call site it should never return null.  This (I think) has a cascading effect with NullAway Annotator that ends up making the return of getStartBlock() nullable.  That said, I'm not sure, and a local cast is pretty good, so I can go with 1 for Patch C."	consolidation
libgdx	67	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	3	3	3					1	0	0	2	3	3	Clearly region is not expected to be null here, so I don't know why the parameter is `@Nullable`.  Probably there should be a castToNonNull somewhere else and the parameter should become `@NonNull`.  But, still Patch A with the cast is better than just returning without doing anything, to avoid masking a bug.						3	1	1	Cast in A contracts the annotation. Assuming the annotation is correct, then defaulting to do nothing (i.e., patch B and C) seems okay.	MP: Similar to libgdx-214.  MS: agreed, this depends on the correctness of the annotation and, if incorrect, whether that should be fixed as part of the patch.  I also think the annotation is not right here. MP: I agree that the annotation is probably wrong. If we accept this assumption, then all 3 seems the right choice.	consolidation
litiengine	56	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	3	1	3								3	1	3	Seems clear there is some invariant where if it's in infinite map then its `y` field should be `@NonNull`.  So, better to cast and fail fast than to mask the case where `y` is unexpectedly null.						2	1	2	From setX and setY, it seems that isInfiniteMap implies a non-null value, i.e., okay to cast, as done by B. A and C are also correct, but introduce unnecessary checks.	MP: I'm okay with giving 3 to A and C for the unneccessary checks	consolidation
