Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	Consolidation Comment (Optional)	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	100	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	3	1	2	A initialized the field with a placeholder value, which seems wrong. B could be correct, but I'm not 100% sure whether all references of the field are handled (correctly). C appears to be missing some references of the field.	1	3	3	This is a data record that's loaded from Json. The loaders (e.g., https://github.com/Pascal-Joos/libgdx/blob/4974c00d627a7dddfd845980967f82794b433c8a/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java) seem to be supposed to always initialize it to an empty array, even if there's nothing there. So, patch A is a perfectly reasonable defensive change (in case a loader is implemented incorrectly), but patches B and C's choices to make it nullable are incorrect.	1	3	3	MP: Why do you think making it nullable is incorrect? MK: I'm looking at e.g., https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java#L117, which indicates that `indices` is a required field of this class when its been serialized. It's also dereferenced without null checks, e.g., at https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/graphics/g3d/Model.java#L236. MP: Okay, I see. Let's go with 1-3-3 then.			
libgdx	42	hash_basic	hash_agent_baseline	hash_advanced	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	3	Using a default, empty name seems reasonable. A and B do this; B does it more elegantly.	2	1	1	"The issue concerns what to do about an uninitialized ""name"" variable (a string). There is a single place where it's used, to look up the class by name. Patches A and B solve the problem by making the name the empty string when it's uninitialized, though patch A is unnecessarily verbose. Patch C solves the problem by making the getter nullable and handling it at the call site. I'm okay with both approaches, and don't have a strong preference between them."	2	1	1	MP: I agree that C may also be considered correct.			
zuul	19	hash_advanced	hash_basic	hash_agent_baseline	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	2	It's safe to cast to non-null because of the two if checks, which is what A does. B just invents some value. C is equivalent to A, but a bit lengthy.	1	3	1	"This is definitely a false positive, since the ""both are null"" case is checked just above. Patch A solves the problem with a suppression, which is fine (the reason is obvious). Patch C splits the two cases, which is also obviously correct and is a reasonable rewrite. Patch B incorrectly tries to actually handle the null case."	1	3	2	MK: MP's point about C's verbosity is well-taken.			
glide	36	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	3	3	2	B doesn't remove the warning. C might be what the developers had in mind, but the warning remains as NullAway doesn't understand the null check. A ensures safety, but removes the functionality implemented with Preconditions	2	3	3	The correct thing to do is to null check both listPool and listPool.acquire(). All three patches are completely wrong in at least one way, and none of them are really salvagable, although if one is it's probably patch A? Patch A does null-check both, but then ruins it by completely messing up the release semantics. Patch B shouldn't even resolve the error; I'm not sure why it does (pascal.joos@outlook.de should double-check the experimental infra). Patch C switches the null check from listPool.acquire() to listPool, which is also not right. (It's important to check that listPool.acquire() is nonnull because the pool will return null if it is empty, which I don't see why would be guaranteed here.)	3	3	3	MK: I propose we give all 3s here.	0	1	1
wala-util	31	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	2	2	1	Cast, as done by C, seems safe, assuming that registerObject() is called before calling compare(), which I understand to be the usage protocol. A and B will also give correct runtime behavior, but handle a case that should never occur.	1	1	3	compare() implementation should work  regardless of implementation details (eg relying on things being in the sizeCount map), IMO. So, the null-safe patches A and B are correct, and the warning suppression (on just i2, which is inconsistent!) in patch C is wrong.	1	1	3	MK: I'm unwilling to give C better than a 2, because casting i2 but not i1 is obviously wrong. MP: Taking a second look, I agree.			
gson	19	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	3	1	A and C are equivalent and look fine. B clutters the code with lots of (unnecessary, it seems) checks.	1	2	1	All three patches include the right fix, which is to check stackTop for null, too (it clearly can be - this.stack is nullable). Patch B includes a bunch of extraneous null checks in a nearby method.	1	3	1	MK: I'm willing to go to 3 on B, but I think it should be a two because it's a superset of the correct patch. MP: Let's give B a 3, as there are many unrelated changes. This also is consistent with glide-10			
gson	7	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	2	2	2	The true passed to find() ensures that created exists, i.e., safe to cast to non-null. All three patches give the right behavior, but A introduced another, unrelated change, while B and C handle a case that never occurs.	1	3	3	This is definitely a false positive, because calling create always returns nonnull when the second argument is true. So, handling the null is wrong; suppressing like patch A does is correct. Patch A makes a similar fix in a nearby file, but it appears to have the same semantics to me so as an engineer I'd be comfortable merging them together, so I'm not penalizing patch A for that.	2	3	3	MK: I'm willing to go to 2 on patch A, but not on the other two.			
litiengine	100	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	2	3	1	B goes beyond the specific error. A is correct, but adds unnecessary code. C looks best.	1	2	1	There seems like there should be some kind of represenation invariant that makes the null-checking unnecessary, but the code isn't documented and is spagetti-like enough that I can't see one that's actually being enforced. All three patches try to defensively prevent the dereference in roughly the same way, but patch B makes some other unnecessary and incorrect semantic changes.	2	3	1	MK: Agree with MP			
glide	77	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	2	1	2	Can probably be casted, as done by B. A and C are likely also correct, but adds several code lines just to handle a case that won't occur.	3	1	3	This is a false postiive, so the suppression is correct. The boolean is defaulted to false in GifOptions.	3	1	3	MP: Agreed that this is a false positive, so adding code to handle it unncessary			
glide	67	hash_agent_baseline	hash_basic	hash_advanced	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	2	2	1	Similar to glide-77.	2	3	1	This is a false positive (the option is defaulted to 90 on line 41), so Patch C's suppression is best. Patches A and B unnecessarily add null checks, but Patch A defaults to 90 while Patch B incorrectly defaults to 100. Patch A is semantically equivalent but wasteful, which is why I gave it a 2 instead of a 3; patch B is wrong.	3	3	1	MP: Agreed. Similar to the above			
spring-boot	17	hash_basic	hash_advanced	hash_agent_baseline	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	2	1	2	Naming suggest that casting to non-null is okay, as done by B. A and C are also correct, but less concise.	3	2	2	The logging system shouldn't ever be null; despite the @Nullable annotation that NAA has placed on LoggingSystem.get, it actually asserts that its result is nonnull. Certainly this shouldn't be handled at a call-site, so suppressions a la patches B and C are the better option. The better fix, though, would be to make LoggingSystem.get's return type nonnull.	3	2	2	MP: Agreed			
