Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)_Manu	SCORE (Patch B)_Manu	SCORE (Patch C)_Manu	Comment_Manu	SCORE (Patch A)_Martin	SCORE (Patch B)_Martin	SCORE (Patch C)_Martin	Comment_Martin	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	Consolidation Comment (Optional)	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
jadx	61	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/a3dbff26dc12cf3ebf1e3f64005c418b35472f24"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c2058a2e5f6d29cb9a1f0d6b79109ba0a8782002"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/a320a70cfb824e453a3b95ae5620058df210e957"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression cond is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfCondition.java:121	\t\tMode mode = cond.getMode();	2	3	2	parameter should probably not be `@Nullable`, casting or checking for null is not as good as getting rid of annotation	3	2	3	"cond is pretty clearly supposed to be nonnull, so the right fix would be to remove the @Nullable annotation and then fix the call sites. Patch B partially does that, but doesn't actually remove the annotation and makes the method throw an exception, instead, which isn't the right choice (""annotations should reflect normal behavior""). Patch A hides the problem in a silly way (just change the type of the parameter instead!) and doesn't address the call site issue. Patch C just throws an exception, which is equally silly."	3	3	3	MK: willing to agree on 333			
litiengine	117	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f197996532137c9a71104f7c41061aee8eaea6aa"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7699433d9028edd640332f7adcb277fbc1765378"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b173523103efd0a9dc2f3bd5d9622ab922ea37f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(Collision.ANY) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:84	this.collisionEntities.get(Collision.ANY).add(entity);	2	1	2	like row 35 (row 10: litiengine 118 now [Pascal])	3	1	3	this.collisionEntities always contains entries for this enum value; see the constructor. Patch B suppresses the warning; Patches A and C do not. This warning is very similar to warnings 118 and 120, and the justification for my decision is the same.	3	1	3	MS: I can agree on 3 1 3			
jadx	98	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f16d9c0575caaee89f7135ccceb5b4b285b9f4dd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/82a88b2e9fcdc192bfc294b8d89bdf10e3c713dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/40f41a3d5efea86d0f5870ed2fa7bd11c656ca31"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());	1	3	3	can't be null, cast is best, checking and bailing out is misleading	2	3	3	"map is a local variable, and is initialized with the set of blocks in blockNodes on line 1161. The lookup that gets d also uses a block from blockNodes, so its guaranteed to find an entry. Patch A correctly suppresses the warning, but doesn't put the ""nonnull"" version into a local variable, so it triggers a new warning at the next dereference of d; it should but it in a local variable instead. Patches B and C try to handle the null dereference, and so are wrong. C is worse, but both are so bad I wouldn't consider them. (I also checked that blockNodes never changes during this method.)"	1	3	3	"MK: my score here depends on how we want to handle ""newly"" triggered errors that were always there (a la Pascal's email on Friday afternoon European time). If we're ok with them, I'm happy to switch to 1 here (We decided to score such as 1 -[Pascal])"	1	0	0
libgdx	183	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cad4d076e2f6cf81cc0dc32d2f17fc8ccb3738d8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/541829db1df00fd5a3ab77fed962bb187699795f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/13d340606a96efe1e2b83c69c31d3888db9439b6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression side is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/FrameBufferCubemap.java:182	side.glEnum,	2	2	2	the parameter should not be nullable.  annotator issue?  a good patch would find the root cause.  these patches don't break the program, but don't solve the real issue.	3	3	2	Correct patch is to remove the @Nullable annotation and instead suppress the callsite on line 169. Patch C correctly recognizes that side shouldn't be null here, but puts the suppression in the wrong place. Patches A and B do not and are therefore wrong.	3	3	2	MS: I can agree on 3 3 2			
litiengine	97	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/722979dc528854ca4a7a3d4bfc0a259b21d70df6"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/7e57b5cde1dc30f2db0121f6274a00839c0c75e9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ec9ea1cd6c1db9974f358fcdf2ddb61c3ca4f6c3"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	return this.name;	3	1	2	seems it can actually be null, if it's not set.  based on the usages i think returning an empty string is reasonable.  making return `@Nullable` and adding null checks is second best.  just marking return as `@Nullable` leads to new errors.	2	3	1	there's nothing to guarantee that setName gets called on every GuiComponent, so making the return nullable makes sense. Patch A just does that and doesn't deal with call sites, which is a good start, but wrong. Patch C does that and does deal with callsites, so it's ok. Patch B is trickier: it makes the getName() method return the empty string when the name is empty. I think this could be ok, but it could also lead to subtle bugs later: if two GuiComponents both didn't have their names set, they might accidentally be considered to have the same name by code like the code in ScreenManager that patch C edits. So, I don't think this change is safe.	2	3	1	MK: we agree on relative order of A and C, just a question of whether B is safe. I stand by my argument that it isn't.  MS: I'm convinced by your argument	3	0	0
litiengine	114	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3c7c056c4db85715b6ab082f23099d0478e26c74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/322b1864d2036802db5fadedef648173288e28ec"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/da15c94fb727545e4d751df750992e1fe329ff8b"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/input/Input.java:50	return gamePadManager;	2	3	3	seems like if the protocol is followed correctly (right config and system has been initialized) this should return nonnull.  seems like a bad API that should just fail rather than returning null.  adding null checks at all callers is tedious.  Patch A is ok though it adds null checks, Patches B and C are bad.	3	3	3	Line 105 of input initializes gamePadManager iff Game.config().input().isGamepadSupport() is true. That's exactly the condition checked above this return, so the warning is a false positive and the correct thing to do is to suppress it _and_ add an explicit throw along with the SEVERE logging logic (IMO). All the patches aren't even close.	3	3	3	MK: I don't see any redeeming features in patch A.  MS: On second look I agree	1	26	2
libgdx	445	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ac0621103872ee61e599ab959a1677e62f51f37b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/215c8c48ec068edc29dd52135b54d94e980cd9d8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/a503b0a8a6eadb0c57dcd14e7a4f3fd31c0ddbf2"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lzma/Encoder.java:1270	_matchFinder = null;	3	3	3	The field should be `@Nullable` I think.  Initialized via some complex protocol.  I don't think any of the patches quite do a proper fix.  I would probably do a checkNotNull at the beginning of each method that uses the field, or something like that.	3	2	3	_matchFinder is clearly supposed to be null, so only Patch B makes any sense. I gave patch B a 2 rather than a 1 because although I can't find anything wrong with it per se, it's pretty extensive and would require careful review. I suspect there's at least one minor mistake in there, but I don't have enough expertise to be sure.	3	2	3	"MK: willing to go to 333, but I think patch B is materially better than the other two even though it's not great, hence my 2 score.  MS: I think Patch B introduces casts that are unnecessary, i.e., they are dominated by a null check so there should be no warning.  I've emailed Pascal separately about these cases, I think it's different than the ""new error"" issue with casts."			
glide	9	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/282eb711e1aec3f83f15671349be398c49220f5a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/bd6eac2e153241b01c81de24c05aabc1bfc18e72"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/67308f0c494d0ad60f135b6e9c3a7cee5ab5118d"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	return modelLoaderIndex < modelLoaders.size();	3	1	1	Adding a null check seems reasonable.  Patch A has some unrelated change.	3	2	2	A combination of short-circuit evaluation and the loop guard on the while loop around line 52 mean that this method is never called when modelLoaders is null (and the method is private), so I think the best fix is a suppression. All three patches are effectively identical, and I marked them as 2s because they're plausibly a good idea from a defensive code perspective. Patch A gets a 3 instead because it makes an unrelated change.	3	2	2	MK: I'm willing to go to 311 if Manu feels strongly.  MS: I think 3 2 2 is better upon further consideration.			
wala-util	35	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/98de7bfd2cd33ecd02b298dbe41b5884a36afbd1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/72c11c357fea707cbec61761fdf53cb2d23767b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/4ac4d907e2864a0403bb3d0497a3b0f8b30b433e"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression v is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/BasicNaturalRelation.java:161	v.set(x, y);	3	1	1	v cannot be null according to the logic.  casting or null check + exception seems reasonable.  I don't know what Patch A is doing.	1	3	2	Patch A gets this exactly right, avoiding the nullability issue altogether while presesrving semantics. Patch B is totally wrong (v can't be null), while patch C is decent but misses patch A's better approach. I considered giving patch C a 1 also, but I like patch A better.	1	2	2	MK: Patch A is un-hoisting the variable so that it's loop-scoped. I'm pretty sure the change is semantically-equivalent, and it completely avoids the null case, which is why I prefer it. I'm willing to go to 131, but I don't think patch B is correct: v can't be null, so null-checking it is silly.  MS: Ok, I understand Patch A now and agree with you.  But, isn't Patch B essentially an inlined cast?  Maybe we should go 1 2 2?			
glide	45	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/d859cac480c351f7e47d14f50e3d9efccc320225"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/99ef9a3a45db008a12bf5fdbaa7bccf14fcce25f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/88465e2325bb5c3654c46635baf3047ffc414be4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/ResourceCacheGenerator.java:118	return modelLoaderIndex < modelLoaders.size();	1	1	3	Similar to row 47. (row 19: glide 9 now [Pascal])	2	2	3	code is almost identical to patch id 9, and the pattern here is the same: patches A and B have ok defensive fixes for what is actually a false positive; patch C has unnecessary other changes	2	2	3	MS: I'm fine with 2 2 3 on this one.			
