Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	181	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	3	1	3	A and C simply remove the assignment, which is likely unintended. The 'data'  field should be annoated as nullable (as there's a null check at line 64). B adds this annotation and then tries to handle its effects.			
libgdx	100	Github	Github	Github	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	3	1	2	A initialized the field with a placeholder value, which seems wrong. B could be correct, but I'm not 100% sure whether all references of the field are handled (correctly). C appears to be missing some references of the field.			
spring-boot	56	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();	1	1	1	Apart from formatting, all three do the same, which looks correct.			
libgdx	42	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	3	Using a default, empty name seems reasonable. A and B do this; B does it more elegantly.			
zuul	19	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	2	It's safe to cast to non-null because of the two if checks, which is what A does. B just invents some value. C is equivalent to A, but a bit lengthy.			
glide	36	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	3	3	2	B doesn't remove the warning. C might be what the developers had in mind, but the warning remains as NullAway doesn't understand the null check. A ensures safety, but removes the functionality implemented with Preconditions	0	1	1
litiengine	78	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	final Graphics2D bGr = bimage.createGraphics();	1	3	1	getCompatibleImage() may return null when height or width is zero, i.e., casting to non-null (as done by B) is unsafe. The fall-back in A and C seems reasonable, as there's nothing to do for zero-height or zero-width images.	0	1	0
wala-util	31	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	2	2	1	Cast, as done by C, seems safe, assuming that registerObject() is called before calling compare(), which I understand to be the usage protocol. A and B will also give correct runtime behavior, but handle a case that should never occur.			
gson	19	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	3	1	A and C are equivalent and look fine. B clutters the code with lots of (unnecessary, it seems) checks.			
gson	7	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	2	2	2	The true passed to find() ensures that created exists, i.e., safe to cast to non-null. All three patches give the right behavior, but A introduced another, unrelated change, while B and C handle a case that never occurs.			
litiengine	100	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	2	3	1	B goes beyond the specific error. A is correct, but adds unnecessary code. C looks best.			
glide	77	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	2	1	2	Can probably be casted, as done by B. A and C are likely also correct, but adds several code lines just to handle a case that won't occur.			
libgdx	442	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	_stream.write(_buffer, _streamPos, size);	1	1	1	All three the same and correct.			
glide	67	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	2	2	1	Similar to glide-77.			
spring-boot	17	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	2	1	2	Naming suggest that casting to non-null is okay, as done by B. A and C are also correct, but less concise.			
eureka	1	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	return holder;	1	3	1	Should be called when holder got initialized, as enforced by A and C. B makes too many changes for enforcing an obvious usage protocol.	0	8	0
libgdx	360	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	3	2	1	Setting a default font, as done by B and C seems reasonable. B should use an import. A is too complex.	1	0	0
jadx	89	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	3	1	1	B and C looks like the intended behavior. A may cause runtime error.			
libgdx	214	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	1	3	1	Cast in B contradicts annotation. A and C look fine, but this behavior should probably be documented.			
jadx	84	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	2	2	1	Should never be null, I think, so casting, as done by C is best. A and B are also correct, but handle a never ocurring case.			
libgdx	67	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	3	1	1	Cast in A contracts the annotation. Assuming the annotation is correct, then defaulting to do nothing (i.e., patch B and C) seems okay.	1	0	0
litiengine	22	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	return this.spawnpoints;	1	1	3	C is too complex. A and B seem reasonable and are practically equivalent	0	0	1
litiengine	56	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	2	1	2	From setX and setY, it seems that isInfiniteMap implies a non-null value, i.e., okay to cast, as done by B. A and C are also correct, but introduce unnecessary checks.			
litiengine	76	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	3	3	1	Similar to litiengine-78. B makes too many not-asked-for changes.	1	0	0
libgdx	363	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	1	2	Check done by B is similar to what's done a few lines above. A is similar, but also edits another, not-asked-for location. C checks more than necessary to fix the warning, but otherwise okay.			
glide	16	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	resourceClass = null;	1	3	3	B and C are clearly stupid. A looks good, as it acknowledges that resourceClass may be null and then adds checks/casts.			
libgdx	41	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	2	sprite seems to be non-null, so casting is fine. B skips behavior. C is okay, but not very elegant.			
litiengine	110	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	1	3	Skipping when currentText is null is consistent with other locations handling this case, so B looks best. A has a probably unintended side-effect. C could be okay, if createBubbleImage should be called only when the text is non-null (but I don't see many signs for that assumption).	0	1	0
libgdx	331	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'c.actor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1205	float maxHeight = c.maxHeight.get(c.actor);	3	1	3	Similar to libgdx-319			
libgdx	128	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields positionChannel (line 36), previousPositionChannel (line 36), rotationChannel (line 36) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/influencers/DynamicsInfluencer.java:57	@Initializer	3	3	1	A adds many casts, which is very ugly. In B, the first of the "else" branches does exactly the same as the "if" branch. C maybe the best way to go here, even though it'll require changes in caller code	0	0	9
glide	17	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:85	transcodeClass = null;	2	3	1	Similar to glide-16. B is stupid. A is reasonable, but will require handling follow-up errors. C looks best, asa it handles follow-up errors.	3	0	0
libgdx	196	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java:52	return null;	3	3	3	C seems wrong (and messes up the comment). Adding a nullable annotation (as done by A and B) seems correct. However, A adds null-check and casts, which is unnecessary. B just skips behavior, which may not be intended either.			
libgdx	415	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression p is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/PooledLinkedList.java:160	p.next = null;	1	2	3	It seems that p will never be null, so casting (as done in A) is fine. C adds many checks, which seem unnecessary but reduce readability. B likely does no harm, but the check isn't required.			
spring-boot	32	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	1	3	1	Passing an empty array in case annotations is null seems reasonable, as done by A and C. The case done by B may fail.			
zuul	10	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	1	1	2	B and C are equivalent and make sense to me. A achieves the same, but creates an object that isn't required.			
wala-util	17	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	return succs.get(N).iterator();	2	1	2	Casting is fine, as the code just above ensures that the map contains this entry. A and C add unncessary code, but should give the correct behavior.			
libgdx	309	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:901	c.computedPadRight = c.padRight.get(a) + ((column + colspan) == columns ? 0 : spaceRight);	3	2	3	Similar to libgdx-319. C just skips behavior, A uses a cast that may fail. B could be okay, but hard to tell for me what the intent here is.			
gson	2	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression longAdapter.read(in) is @Nullable	gson/gson/src/main/java/com/google/gson/Gson.java:455	long value = longAdapter.read(in).longValue();	2	3	2	Not fully sure whether A or C is closest to the intended behavior, but the code needs to handle null in one way or another.	0	1	0
libgdx	322	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:1091	float prefWidth = c.prefWidth.get(a), prefHeight = c.prefHeight.get(a);	3	2	2	Also similar to ligdx-319. A is wrong because the cast may fail. B and C are equivalent and may be the intended behavior, but not 100% sure. I could also give a low-confidence "1" to both them (and similar for the two similar errors above).			
libgdx	355	Github	Github	Github	METHOD_NO_INIT	initializer method does not guarantee @NonNull field columnSizes (line 47) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/VerticalGroup.java:52	public VerticalGroup() {	1	2	3	columnSizes being null doesn't convey any special state, as shown by line 70, so initializing it to an empty collection makes sense (as done in A). B is clone, but stupidly duplicates the line. C seems overly complex	0	0	1
