Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	181	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/ETC1TextureData.java:107	data = null;	2	3	1	There's no reason to null out `data`, and doing so is an antipattern.			
libgdx	100	Github	Github	Github	FIELD_NO_INIT	@NonNull field indices not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMeshPart.java:22	public short[] indices;	1	3	3	This is a data record that's loaded from Json. The loaders (e.g., https://github.com/Pascal-Joos/libgdx/blob/4974c00d627a7dddfd845980967f82794b433c8a/gdx/src/com/badlogic/gdx/graphics/g3d/loader/G3dModelLoader.java) seem to be supposed to always initialize it to an empty array, even if there's nothing there. So, patch A is a perfectly reasonable defensive change (in case a loader is implemented incorrectly), but patches B and C's choices to make it nullable are incorrect.			
spring-boot	56	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression type is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/logging/logback/SpringBootJoranConfigurator.java:282	\t\t\t\treturn type.getConstructor().newInstance();	1	1	1	All three patches are identical and are superior to the existing code perf-wise, but semantically-equivalent. The only reason I'd not accept this PR is if I don't care about efficiency but do care about code size.			
libgdx	42	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:751	return name;	2	1	1	The issue concerns what to do about an uninitialized "name" variable (a string). There is a single place where it's used, to look up the class by name. Patches A and B solve the problem by making the name the empty string when it's uninitialized, though patch A is unnecessarily verbose. Patch C solves the problem by making the getter nullable and handling it at the call site. I'm okay with both approaches, and don't have a strong preference between them.			
zuul	19	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	1	3	1	This is definitely a false positive, since the "both are null" case is checked just above. Patch A solves the problem with a suppression, which is fine (the reason is obvious). Patch C splits the two cases, which is also obviously correct and is a reasonable rewrite. Patch B incorrectly tries to actually handle the null case.			
glide	36	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression listPool is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodePath.java:69	List<Throwable> exceptions = Preconditions.checkNotNull(listPool.acquire());	2	3	3	The correct thing to do is to null check both listPool and listPool.acquire(). All three patches are completely wrong in at least one way, and none of them are really salvagable, although if one is it's probably patch A? Patch A does null-check both, but then ruins it by completely messing up the release semantics. Patch B shouldn't even resolve the error; I'm not sure why it does (pascal.joos@outlook.de should double-check the experimental infra). Patch C switches the null check from listPool.acquire() to listPool, which is also not right. (It's important to check that listPool.acquire() is nonnull because the pool will return null if it is empty, which I don't see why would be guaranteed here.)	0	1	1
litiengine	78	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression bimage is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/OverlayPixelsImageEffect.java:27	final Graphics2D bGr = bimage.createGraphics();	1	3	1	When an image effect can't be applied to an image, it makes sense to return the original image. Patches A and C do so. Patch B incorrectly asserts that null isn't possible, but there's no guarantee that the width or height of the input image isn't zero (which is the condition that triggers a null return from Imaging.getCompatibleImage).	0	1	0
wala-util	31	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - i2	wala-util/src/main/java/com/ibm/wala/util/heapTrace/HeapTracer.java:596	return i2 - i1;	1	1	3	compare() implementation should work  regardless of implementation details (eg relying on things being in the sizeCount map), IMO. So, the null-safe patches A and B are correct, and the warning suppression (on just i2, which is inconsistent!) in patch C is wrong.			
gson	19	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression stackTop is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:755	if (stackTop.parent != null) {	1	2	1	All three patches include the right fix, which is to check stackTop for null, too (it clearly can be - this.stack is nullable). Patch B includes a bunch of extraneous null checks in a nearby method.			
gson	7	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression created is @Nullable	gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java:103	V result = created.value;	1	3	3	This is definitely a false positive, because calling create always returns nonnull when the second argument is true. So, handling the null is wrong; suppressing like patch A does is correct. Patch A makes a similar fix in a nearby file, but it appears to have the same semantics to me so as an engineer I'd be comfortable merging them together, so I'm not penalizing patch A for that.			
litiengine	100	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.getListEntry(column, row) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/ListField.java:280	this.getListEntry(column, row)	1	2	1	There seems like there should be some kind of represenation invariant that makes the null-checking unnecessary, but the code isn't documented and is spagetti-like enough that I can't see one that's actually being enforced. All three patches try to defensively prevent the dereference in roughly the same way, but patch B makes some other unnecessary and incorrect semantic changes.			
glide	77	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(GifOptions.DISABLE_ANIMATION)	glide/library/src/main/java/com/bumptech/glide/load/resource/gif/StreamGifDecoder.java:41	return !options.get(GifOptions.DISABLE_ANIMATION)	3	1	3	This is a false postiive, so the suppression is correct. The boolean is defaulted to false in GifOptions.			
libgdx	442	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression _stream is @Nullable	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/OutWindow.java:41	_stream.write(_buffer, _streamPos, size);	1	1	1	Patches are identical, and _stream is clearly nullable.			
glide	67	Github	Github	Github	UNBOX_NULLABLE	unboxing of a @Nullable value - options.get(COMPRESSION_QUALITY)	glide/library/src/main/java/com/bumptech/glide/load/resource/bitmap/BitmapEncoder.java:75	int quality = options.get(COMPRESSION_QUALITY);	2	3	1	This is a false positive (the option is defaulted to 90 on line 41), so Patch C's suppression is best. Patches A and B unnecessarily add null checks, but Patch A defaults to 90 while Patch B incorrectly defaults to 100. Patch A is semantically equivalent but wasteful, which is why I gave it a 2 instead of a 3; patch B is wrong.			
spring-boot	17	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.loggingSystem is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/logging/LoggingApplicationListener.java:242	\t\tthis.loggingSystem.beforeInitialize();	3	2	2	The logging system shouldn't ever be null; despite the @Nullable annotation that NAA has placed on LoggingSystem.get, it actually asserts that its result is nonnull. Certainly this shouldn't be handled at a call-site, so suppressions a la patches B and C are the better option. The better fix, though, would be to make LoggingSystem.get's return type nonnull.			
libgdx	191	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression textureRegion is @Nullable	libgdx/gdx/src/com/badlogic/gdx/maps/tiled/BaseTmxMapLoader.java:404	          float objectWidth = element.getFloatAttribute("width", textureRegion.getRegionWidth());	3	2	3	Definitely a false positive: the texture region is set in the constructor of the relevant class: https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/maps/tiled/objects/TiledMapTileMapObject.java#L42. Patches A and C are therefore just wrong. Patch B is on the right track, but it should only suppress the warning in one place instead of doing it in a bunch of places.			
libgdx	113	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ResourceData.java:127	this.filename = filename;	3	3	2	Annotations should express normal behavior, and based on the way that the asset filename is decided (from the filename of an asset or else null-checked first), it's clearly intented that it should be nonnull (see e.g. https://github.com/Pascal-Joos/libgdx/blob/5f58c8d22a5793d57c3934c4abfb56fca3dbe327/gdx/src/com/badlogic/gdx/assets/AssetManager.java#L280, which is the source of the null flow). Patch C recognizes this, but gets a 2 because it triggers new errors and is therefore incomplete; patch A is worse than doing nothing; patch B tries to thread the nullability through the whole program, which seems to _work_ but clearly isn't the intended semantics.	0	2	1
litiengine	120	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionBoxes.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:121	this.collisionBoxes.get(type).clear();	3	3	1	The constructor of the class always add entries for each of the Collision enum values (except NONE), so looking them up will always lead to a nonnull value, since the map is never cleared.			
eureka	4	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java:276	resourceRecordSetWithHostedZone	2	2	3	hasValue can only return true if the input is nonnull (https://github.com/Pascal-Joos/eureka/blob/022d7cbc208d8857214f367d47cd4de56b97aa85/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java#L326), so all three patches are wrong. Patches A and B are semantically equivalent, unlike patch C, though, so they're better.			
jadx	9	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression condition is @Nullable	jadx/jadx-core/src/main/java/jadx/core/codegen/ConditionGen.java:56	\t\tswitch (condition.getMode()) {	3	3	3	The design of the code makes it clear that condition is not supposed to be nullable, so the right fix is to remove that Nullable annotation on the parameter and then unwind the consequences. It seems like NAA has gotten this pretty badly wrong, and all of the models are in a position where there's not really any way to win without undoing a bunch of its work. Patches A and C are marginally better than patch B, but I wouldn't consider any of them if I were a dev - I'd insist on getting rid of the unnessary nullability.			
libgdx	437	Github	Github	Github	FIELD_NO_INIT	@NonNull field _hash not initialized	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lz/BinTree.java:12	int[] _hash;	3	2	2	This code doesn't look like it's really intended to be Java; the structure looks like a translated C program. I would not run the checker on the whole file for that reason, so my preferred patch is a warning suppression on the whole file. Patch A is very wrong: it changes semantics in a few places, and is otherwise too intrusive. Patches B and C are effectively warning suppressions, but I'd hesitate to accept them as a dev because as a dev I wouldn't touch this code with a ten foot pole.			
libgdx	63	Github	Github	Github	FIELD_NO_INIT	@NonNull field TextureAtlas$TextureAtlasData$Region.values not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureAtlas.java:587	public @Null int[][] values;	3	1	2	It's pretty clear that values is intended to be Nullable. Patch B gets that exactly right. Patch C is on the right track, but doesn't handle every use (thus triggering new errors). Patch A is wrong.	0	0	1
libgdx	83	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'bindPose.keys[j].id' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/ModelInstance.java:359	bindPose.keys[j] = getNode(bindPose.keys[j].id);	1	3	3	I'm pretty unsure about this one. I _think_ this is a false positive, but that's mostly because I can't see how this code could ever run otherwise. Patches B and C skip updating the entry if the key's id actually is null, which I think is a mistake: it would be much better to crash in such a case (which the suppression will cause), so that it can be investigated as a bug.	0	1	0
litiengine	118	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(entity.getCollisionType()) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:78	this.collisionEntities.get(entity.getCollisionType()).add(entity);	1	3	3	this.collisionEntities always contains entries for these enum values; see the constructor. Patch A suppresses the warning; Patches B and C do not. This warning is very similar to warning 120, and the justification for my decision is the same.			
libgdx	249	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:999	expandX = null;	3	2	3	Context makes it obvious that the field is allowed to hold null. So, Patches A and C (which adjust the assignment to make the RHS nonnull) are wrong. Patch B correctly makes the field null, but I'm not happy with how it handles the triggered errors - I don't see anything at either location that guarantees that expandX/expandY is actually nonnull, so I'd have done a null check at both locations, instead. Also, patch B clearly needs work because it triggers a new error.	0	1	0
jadx	61	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression cond is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/regions/conditions/IfCondition.java:121	\t\tMode mode = cond.getMode();	3	2	3	cond is pretty clearly supposed to be nonnull, so the right fix would be to remove the @Nullable annotation and then fix the call sites. Patch B partially does that, but doesn't actually remove the annotation and makes the method throw an exception, instead, which isn't the right choice ("annotations should reflect normal behavior"). Patch A hides the problem in a silly way (just change the type of the parameter instead!) and doesn't address the call site issue. Patch C just throws an exception, which is equally silly.			
libgdx	252	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:81	return (T) actor;	1	1	1	Patches are semantically equivalent and obviously correct from the method's docs.			
litiengine	117	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.collisionEntities.get(Collision.ANY) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/physics/PhysicsEngine.java:84	this.collisionEntities.get(Collision.ANY).add(entity);	3	1	3	this.collisionEntities always contains entries for this enum value; see the constructor. Patch B suppresses the warning; Patches A and C do not. This warning is very similar to warnings 118 and 120, and the justification for my decision is the same.			
jadx	98	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression d is @Nullable	jadx/jadx-core/src/main/java/jadx/core/utils/BlockUtils.java:1185	\t\t\t\td.set(block.getId());	2	3	3	map is a local variable, and is initialized with the set of blocks in blockNodes on line 1161. The lookup that gets d also uses a block from blockNodes, so its guaranteed to find an entry. Patch A correctly suppresses the warning, but doesn't put the "nonnull" version into a local variable, so it triggers a new warning at the next dereference of d; it should but it in a local variable instead. Patches B and C try to handle the null dereference, and so are wrong. C is worse, but both are so bad I wouldn't consider them. (I also checked that blockNodes never changes during this method.)	1	0	0
litiengine	29	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:458	this.renderables.get(renderType).clear();	1	1	3	renderables is an EnumMap for RenderType.class at run time (line 95), so this is a false positive, and should be suppressed as patches A and B do			
litiengine	30	Github	Github	Github	DEREFERENCE_NULLABLE	enhanced-for expression this.renderListeners.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:2571	for (EnvironmentRenderedListener listener : this.renderListeners.get(type)) {	1	3	3	renderListeners is also an EnumMap; scenario is almost identical to patch id 29			
libgdx	183	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression side is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/glutils/FrameBufferCubemap.java:182	side.glEnum,	3	3	2	Correct patch is to remove the @Nullable annotation and instead suppress the callsite on line 169. Patch C correctly recognizes that side shouldn't be null here, but puts the suppression in the wrong place. Patches A and B do not and are therefore wrong.			
litiengine	97	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/gui/GuiComponent.java:264	return this.name;	2	3	1	there's nothing to guarantee that setName gets called on every GuiComponent, so making the return nullable makes sense. Patch A just does that and doesn't deal with call sites, which is a good start, but wrong. Patch C does that and does deal with callsites, so it's ok. Patch B is trickier: it makes the getName() method return the empty string when the name is empty. I think this could be ok, but it could also lead to subtle bugs later: if two GuiComponents both didn't have their names set, they might accidentally be considered to have the same name by code like the code in ScreenManager that patch C edits. So, I don't think this change is safe.	3	0	0
litiengine	114	Github	Github	Github	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/input/Input.java:50	return gamePadManager;	3	3	3	Line 105 of input initializes gamePadManager iff Game.config().input().isGamepadSupport() is true. That's exactly the condition checked above this return, so the warning is a false positive and the correct thing to do is to suppress it _and_ add an explicit throw along with the SEVERE logging logic (IMO). All the patches aren't even close.	1	26	2
libgdx	445	Github	Github	Github	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	libgdx/gdx/src/com/badlogic/gdx/utils/compression/lzma/Encoder.java:1270	_matchFinder = null;	3	2	3	_matchFinder is clearly supposed to be null, so only Patch B makes any sense. I gave patch B a 2 rather than a 1 because although I can't find anything wrong with it per se, it's pretty extensive and would require careful review. I suspect there's at least one minor mistake in there, but I don't have enough expertise to be sure.			
glide	9	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:89	return modelLoaderIndex < modelLoaders.size();	3	2	2	A combination of short-circuit evaluation and the loop guard on the while loop around line 52 mean that this method is never called when modelLoaders is null (and the method is private). All three patches are effectively identical, and I marked them as 2s because they're plausibly a good idea from a defensive code perspective. Patch A gets a 3 instead because it makes an unrelated change.			
libgdx	318	Github	Github	Github	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:985	float minWidth = c.minWidth.get(a),	3	2	3	a can't actually be null here, for the same reasons as in patch id 319. Patches A and C try to handle a null case, and so are completely wrong. Patch B is overly verbose in its suppression.			
wala-util	35	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression v is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/BasicNaturalRelation.java:161	v.set(x, y);	1	3	2	Patch A gets this exactly right, avoiding the nullability issue altogether while presesrving semantics. Patch B is totally wrong (v can't be null), while patch C is decent but misses patch A's better approach. I considered giving patch C a 1 also, but I like patch A better.			
libgdx	364	Github	Github	Github	SWITCH_EXPRESSION_NULLABLE	switch expression focusEvent.getType() is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/FocusListener.java:33	switch (focusEvent.getType()) {	1	3	3	the instanceof check above guarantees focusEvent is nonnull, so the suppression in patch A is the best option. This FP from the checker is kind of embarassing though!			
glide	45	Github	Github	Github	DEREFERENCE_NULLABLE	dereferenced expression modelLoaders is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/ResourceCacheGenerator.java:118	return modelLoaderIndex < modelLoaders.size();	2	2	3	code is almost identical to patch id 9, and the pattern here is the same: patches A and B have ok defensive fixes for what is actually a false positive; patch C has unnecessary other changes			
