Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
libgdx	395	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/78cfe5145f6dbba7c1634a894245d5b2639deb46"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/36471dbcf9b188cdcc33a173e7310ff0112ec19c"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields stringValue (line 50), name (line 55) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/utils/JsonValue.java:1173	  @Initializer				(blue)
libgdx	103	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/c5ed275704d8cb33cfd47b7030602070b9dddaed"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9ce2ad1454a965aad9aa747b57a052a0bbc0efca"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ParallelArray.java:282	    return null;				Perfect example. Caller expects to find null if channel not yet created and creates it on demand. Throwing, breaks the code. Actually the method should be changed to allow returning @Nullable and then one call site would need an additional missing null check. However, NullRepair doesn't handle changing the target errors nullability annotation though. (green)
libgdx	20	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/24fbf5e07b8a30f2950122a5dcc7f039a6d93818"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/328de9a216bba9bfc757f32a19dc3ab59b44f307"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull fields file (line 60), type (line 61) are initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/files/FileHandle.java:62	  protected FileHandle() {}				Meaningful defaults that are never used in protected constructor
libgdx	65	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/32e0e7607ab1d6b5010d3e4ca27d35f77507b870"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/74182a4c818ddf62c7af288f343cba7639020b21"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field texture (line 30) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:68	  public TextureRegion(TextureRegion region) {				Bug by NullAway? No idea why this is thrown. (yellow)
libgdx	98	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/832c5f002941a635fd4db68a78981637c3d07402"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/31067030687ef37435e241dccf852d4a7dfcc1e6"", ""Github"")"	FIELD_NO_INIT	@NonNull field id not initialized	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/model/data/ModelMaterial.java:28	  public String id;				They assign a default that seems ok. But I think throwing would be better, as not setting the ID means a dangerous issue. (blue)
libgdx	388	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cc451ba4090576fc1403ac6e36b6f2eb214d7f95"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/6972d0ff9beb1db14322c18c5bf6b8c6ef711120"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/utils/Json.java:1395	    return null;				Nullcheck happens outside (green)
wala-util	38	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/f3683144463323cc0f30d609fea05b93f5473918"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/d63ea47e150f3cf6c16a044a13edaa9bf2532b53"", ""Github"")"	FIELD_NO_INIT	@NonNull field bits not initialized	wala-util/src/main/java/com/ibm/wala/util/intset/BitVectorBase.java:31	  protected int bits[];				Correct to throw runtimeexception here (blue)
wala-util	47	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/d93680a5a90256bd1a43d82a055b0857cb742679"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/1ddd391aa0c56774ead468c86f14ac941edf04f4"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseIntSet.java:219	      elements = null;				
wala-util	63	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/f08f2bfbe453bc1aaaa1c0499a61ee796e717ca8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/87ad316679ec35b1f6a346e95b8b2480c0d2df2e"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/SparseIntSet.java:61	    elements = null;				
wala-util	68	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/05d3f63af81a9cb619803e54b5849b09f5605ee2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/42edde225abd218b25709efe09de9a9d09602581"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/SparseLongSet.java:65	    elements = null;				
wala-util	49	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/b3862b8c59b81c6952eb45777b5c358fe5158c9f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/f23d9af6b4d770d25399991f03ed85510252db07"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseIntSet.java:245	        elements = null;				
wala-util	43	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/6c6b6c90a3fbe715c0bb8907b47e5bfbdd2e7fc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/2273433973eac49f4f135d00021afc6e58571f6a"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	wala-util/src/main/java/com/ibm/wala/util/intset/IntSetUtil.java:94	      return null;				
wala-util	67	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/1dd4c0a3862fac85d6bdba2a223fb240440fceb1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/8b50a2588b5d1ca0467262472c2a3bd042fca5cd"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/SparseIntSet.java:73	      elements = null;				
wala-util	55	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/245c82a4c2dae36611d01c7ed1528ac5c2fff03c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/7b30a94eb531b4d51571a95aed55f2b17c26f9e6"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseLongSet.java:210	        elements = null;				
wala-util	64	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/39bc1b39d1449226eb921e8657f2173ab2bc8378"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/00edf50c342198d0e023c863c16ea88aac8dfa48"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field elements (line 38) is initialized along all control-flow paths (remember to check for exceptions or early returns).	wala-util/src/main/java/com/ibm/wala/util/intset/SparseIntSet.java:60	  public SparseIntSet() {				
wala-util	52	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/ecf32f34c9035972dad9f74762134b6396e13908"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/c5ecfd3405027fe7f7eed3ea7949716a5d7d742e"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseLongSet.java:153	        elements = null;				
wala-util	59	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/a13e959150066def152f3df3f010547316b4224d"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/4505bd61b6071e884ce9555e5f00ee59e03f6325"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field sparsePart (line 26) is initialized along all control-flow paths (remember to check for exceptions or early returns).	wala-util/src/main/java/com/ibm/wala/util/intset/SemiSparseMutableIntSet.java:42	  public SemiSparseMutableIntSet(SemiSparseMutableIntSet set) throws IllegalArgumentException {				
wala-util	48	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/62d0a0253bb626f66625e767f5d3f8ebe2665f23"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/41f9de70ddbb74f41f9f6a4a49f8258de8435095"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseIntSet.java:231	        elements = null;				
wala-util	46	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/62dfa668c9b5a19a165e4eb13c3ae2e5fa0603f4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/5e23b6234f50c573d8107f25ffdd4ae5220fd207"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseIntSet.java:173	        elements = null;				
wala-util	54	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/54c6499d9ce8b41fe4b8ccc0e8cfca698dda4f59"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/43f32bce3dd40d3ca8a6de1093db69e563c548a8"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseLongSet.java:196	        elements = null;				
wala-util	57	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/ee8655a9680cb4aa8bed558d1a4db48ebaf0e55b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/20d402985ef88a70d9fbf52d0f941eb0a5606af7"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseLongSet.java:79	          elements = null;				
wala-util	51	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/16a4e8b7d8a05c382ee8f7c8c9181c32813fae7b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/a1a1e8bd7f930dd375ca7337f5eacc10c1c4ac77"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	wala-util/src/main/java/com/ibm/wala/util/intset/MutableSparseIntSet.java:80	          elements = null;				
wala-util	69	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/1b682b655f4a183a61c8a2dd4369f691bff93288"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/b3bc6db4cd0273d6cfa7b9659c0e0800d0634dd5"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field elements (line 36) is initialized along all control-flow paths (remember to check for exceptions or early returns).	wala-util/src/main/java/com/ibm/wala/util/intset/SparseLongSet.java:64	  public SparseLongSet() {				
